"country","year","score"
"Afghanistan",2021,2.4360344409942627
"Afghanistan",2022,1.2812711000442505
"Afghanistan",2023,1.445908546447754
"Albania",2021,5.255481719970703
"Albania",2022,5.212213039398193
"Albania",2023,5.444690704345703
"Algeria",2021,5.217017650604248
"Algeria",2022,5.538172245025635
"Andorra",2021,NA
"Andorra",2022,NA
"Andorra",2023,NA
"Antigua and Barbuda",2021,NA
"Antigua and Barbuda",2022,NA
"Antigua and Barbuda",2023,NA
"Argentina",2021,5.908278942108154
"Argentina",2022,6.260993480682373
"Argentina",2023,6.393228530883789
"Armenia",2021,5.300568580627441
"Armenia",2022,5.3819427490234375
"Armenia",2023,5.6790900230407715
"Australia",2021,7.111598968505859
"Australia",2022,7.034696102142334
"Australia",2023,7.024582386016846
"Austria",2021,7.079640865325928
"Austria",2022,6.998997211456299
"Austria",2023,6.635663986206055
"Azerbaijan",2022,4.576281547546387
"Azerbaijan",2023,5.213894844055176
"Bahamas",2021,NA
"Bahamas",2022,NA
"Bahamas",2023,NA
"Bahrain",2023,5.959068298339844
"Bangladesh",2021,4.123318672180176
"Bangladesh",2022,3.407532215118408
"Bangladesh",2023,4.113548755645752
"Barbados",2021,NA
"Barbados",2022,NA
"Barbados",2023,NA
"Belgium",2021,6.88175630569458
"Belgium",2022,6.856874465942383
"Belgium",2023,6.943598747253418
"Benin",2021,4.493431091308594
"Benin",2022,4.217325687408447
"Benin",2023,4.419834136962891
"Bolivia",2021,5.568624019622803
"Bolivia",2022,5.928882122039795
"Bolivia",2023,5.859886169433594
"Bosnia and Herzegovina",2021,5.748823165893555
"Bosnia and Herzegovina",2022,5.8720550537109375
"Bosnia and Herzegovina",2023,6.008581161499023
"Botswana",2022,3.435275077819824
"Botswana",2023,3.3316478729248047
"Brazil",2021,6.009953498840332
"Brazil",2022,6.257079601287842
"Brazil",2023,6.5526909828186035
"Brunei",2021,NA
"Brunei",2022,NA
"Brunei",2023,NA
"Bulgaria",2021,5.421693325042725
"Bulgaria",2022,5.3783488273620605
"Bulgaria",2023,5.589599132537842
"Burkina Faso",2021,4.6355085372924805
"Burkina Faso",2023,4.462207794189453
"Cabo Verde",2021,NA
"Cabo Verde",2022,NA
"Cabo Verde",2023,NA
